Id,OrganizationId,CertifiedStatus,License,CertificateCode,CertificateType,Organization,Role,Country,CertificateUrl,SalesActivityStatus
a02UV000005CkE8YAK,001UV00000E9r8HYAR,Valid,FSC-C207269,SCS-COC-700905,COC,PT Lyton Veneer Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a02UV000005CkE8YAK/PrintFile?culture=en,
a02Do000006ZpRFIA0,001Do00000NTzNSIA1,Valid,FSC-C195185,BV-COC-195185,COC,PT MANDIRI PRIMA,Certificate holder,INDONESIA,/api/v1/Certification/a02Do000006ZpRFIA0/PrintFile?culture=en,
a02UV000005KZjVYAW,001UV00000ES7PvYAL,Valid,FSC-C207484,CU-COC-904853,COC,PT MANDIRI TIMBER PRATAMA,Certificate holder,INDONESIA,/api/v1/Certification/a02UV000005KZjVYAW/PrintFile?culture=en,
a02f300000gJMmDAAW,001f300001tqD0YAAU,Terminated,FSC-C141794,BV-COC-141794,COC,PT MAUSON PANEL INDONESIA,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000gJMmDAAW/PrintFile?culture=en,
a02UV00000BwxcTYAR,001UV00000Q3J7MYAV,Valid,FSC-C215865,ESTS-COC-250612,COC,PT MAYUANDA INDUSTRIAL INDONESIA,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000BwxcTYAR/PrintFile?culture=en,
a024y00000o7dvbAAA,0014y00002WBuIOAA1,Terminated,FSC-C172390,CU-CW/FM-882588,CW/FM,PT MERANTI MUSTIKA,Certificate holder,INDONESIA,/api/v1/Certification/a024y00000o7dvbAAA/PrintFile?culture=en,
a0240000005uWIqAAM,0014000000VDKZhAAP,Terminated,FSC-C100294,TT-COC-003479,COC,PT MULTI MANAO INDONESIA,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005uWIqAAM/PrintFile?culture=en,
a02f300000gI0ydAAC,001f300001rbO0QAAU,Valid,FSC-C136522,TUVDC-COC-100959,COC,PT Macananjaya Cemerlang,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000gI0ydAAC/PrintFile?culture=en,
a02f300000gWmabAAC,001f300001wWlQ6AAK,Terminated,FSC-C147262,SA-COC-012918,COC,PT Makassar Intisejahtera,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000gWmabAAC/PrintFile?culture=en,
a02f300000m2tv8AAA,001f3000021TTHuAAO,Valid,FSC-C159285,BV-COC-159285,COC,PT Malindo Irfan,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000m2tv8AAA/PrintFile?culture=en,
