Id,OrganizationId,CertifiedStatus,License,CertificateCode,CertificateType,Organization,Role,Country,CertificateUrl,SalesActivityStatus
a0240000005sWSPAA2,0013300001bkuqoAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group A1,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqpAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group A2,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqqAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group A3,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a023300000fRtRwAAK,0013300001pcm7WAAQ,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Asik,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqrAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group B1,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqsAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group B2,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqtAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group BM,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuquAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group C,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqvAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group D,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqwAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group E,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqxAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group F,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqyAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group G,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkuqzAAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group H,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a023300000fRtRwAAK,0014y00002ZPZz0AAH,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group HS,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur0AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group I,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur1AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group J,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a023300000fRtRwAAK,0013300001pcm9DAAQ,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Joko Lebu,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur2AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group K,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a023300000fRtRwAAK,0013300001pcmKGAAY,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Kamil,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur3AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group L,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a023300000fRtRwAAK,0014y00002ZPZzvAAH,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group LH,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a023300000fRtRwAAK,0013300001pcmApAAI,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Lintang,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur4AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group M,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a023300000fRtRwAAK,0014y00002ZPa0PAAT,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group MP,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur5AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group N,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur6AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group O,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur7AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group P,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur8AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group PD,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkur9AAA,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group PS2,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkurAAAQ,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group PS3,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkurBAAQ,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group PS4,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkurCAAQ,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group PS5,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkurDAAQ,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group Q,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkurEAAQ,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group R,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a023300000fRtRwAAK,0013300001pcmCgAAI,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Riyono,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkurFAAQ,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group SD,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a023300000fRtRwAAK,0014y00002ZPa1TAAT,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group SL,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a023300000fRtRwAAK,0013300001pcmDtAAI,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Subekar,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a023300000fRtRwAAK,0013300001pcmHbAAI,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Suherwoto,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a023300000fRtRwAAK,001f300001yXpcnAAC,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Sumar Devi,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a023300000fRtRwAAK,0013300001pcmGiAAI,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Supar Soleh,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a023300000fRtRwAAK,0014y00002ZPZhrAAH,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Suparman,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a023300000fRtRwAAK,0013300001pcmFfAAI,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Supri,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkurGAAQ,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group TT,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a023300000fRtRwAAK,001f300001yXpcYAAS,Valid,FSC-C133562,SA-FM/COC-005493,FM/COC,Group Tayib,Site,INDONESIA,/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,0013300001bkurHAAQ,Valid,FSC-C023796,SA-FM/COC-002083,FM/COC,Group WN,Site,INDONESIA,/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a02f300000gIoDNAA0,001f3000021TiDjAAK,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Hamparan 2,Site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02f300000gIoDNAA0,001f3000021TiDeAAK,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Hamparan I,Site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02f300000gIoDNAA0,001Do000002nY14IAE,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Harapan Maju,Expired site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a024000000CtG9OAAV,0014000000vY4ZVAA0,Terminated,FSC-C114315,SA-FM/COC-004248,FM/COC,Jarak,Site,INDONESIA,/api/v1/Certification/a024000000CtG9OAAV/PrintFile?culture=en,
a02Do000001g7aMIAQ,001UV000007LzVuYAK,Valid,FSC-C184818,SCS-FM/COC-009564,FM/COC,Jati Lestari,Site,INDONESIA,/api/v1/Certification/a02Do000001g7aMIAQ/PrintFile?culture=en,
a02f300000gIoDNAA0,001Do000002nY1xIAE,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Jaya Karana Tani,Expired site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a024000000CtG9OAAV,0014000000vY4aJAAS,Terminated,FSC-C114315,SA-FM/COC-004248,FM/COC,Jenis Gelaran,Site,INDONESIA,/api/v1/Certification/a024000000CtG9OAAV/PrintFile?culture=en,
a024000000CtG9OAAV,0014000000gS76SAAS,Terminated,FSC-C114315,SA-FM/COC-004248,FM/COC,"KSU Hutan Rakyat ""Sengon Agung Bersama""",Certificate holder,INDONESIA,/api/v1/Certification/a024000000CtG9OAAV/PrintFile?culture=en,
a024000000Ohv2tAAB,0014000001KaHgbAAF,Valid,FSC-C122555,SCS-FM/COC-005063,FM/COC,KSU Taman Wijaya Rasa (Kostajasa),Certificate holder,INDONESIA,/api/v1/Certification/a024000000Ohv2tAAB/PrintFile?culture=en,
a0240000006uIYTAA2,0014000000XqJ0LAAV,Terminated,FSC-C104179,SCS-FM/COC-005225,FM/COC,KSU Wana Lestari Menoreh,Certificate holder,INDONESIA,/api/v1/Certification/a0240000006uIYTAA2/PrintFile?culture=en,
a024y00000m3mMhAAI,001UV000006tSWVYA2,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Agung Lestari (Kasembon),Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,0014y00002dyfWuAAI,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Agung Lestari - 17 FMUs,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001UV00000iw1KKYAY,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Alam Jaya,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001UV000006tTxCYAU,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Ar Rozaq,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neDTIAY,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Argo Lestari,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001UV00000iwBbFYAU,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Harapan Jaya,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
