Id,Organization,License,CertificateCode,CertificateType,CertifiedStatus,Role,Country,CertifiedForestArea,FirstIssueDate,LastIssueDate,ExpiryDate,SuspensionDate,TerminatedDate,Address_City,Address_State,Address_Street,Address_PostalCode,CertificateUrl,SalesActivityStatus
a02Do0000010j9HIAQ,FMU Wana Yasa Pacitan,FSC-C193658,PBN-FM/COC-036146,FM/COC,Valid,Site,INDONESIA,"6,661.39 ha",2024-02-15T00:00:00,2025-03-03T00:00:00,2029-02-14T00:00:00,,,,East Java,"Jl. Segoromadu I No. 26, Kel. Segoromadu, Kec. Kebomas",61123,https://search-api.fsc.org/api/v1/Certification/a02Do0000010j9HIAQ/PrintFile?culture=en,
a02UV00000CIilFYAT,FMU Wono Suko,FSC-C216337,PBN-FM/COC-081403,FM/COC,Valid,Site,INDONESIA,597.00 ha,2025-09-17T00:00:00,2025-09-17T00:00:00,2030-09-16T00:00:00,,,,Jawa Timur,Jalan Lumbang Chayun No. 05,67371,https://search-api.fsc.org/api/v1/Certification/a02UV00000CIilFYAT/PrintFile?culture=en,
a02Do0000010j9HIAQ,FMU Wono Wengker Lestari,FSC-C193658,PBN-FM/COC-036146,FM/COC,Valid,Site,INDONESIA,"6,661.39 ha",2024-02-15T00:00:00,2025-03-03T00:00:00,2029-02-14T00:00:00,,,,East Java,"Jl. Segoromadu I No. 26, Kel. Segoromadu, Kec. Kebomas",61123,https://search-api.fsc.org/api/v1/Certification/a02Do0000010j9HIAQ/PrintFile?culture=en,
a024y00000m3mMhAAI,GAPOKTAN KASEMBON MEMBANGUN - 9 FMUs,FSC-C162208,SA-FM/COC-008524,FM/COC,Valid,Site,INDONESIA,618.57 ha,2020-12-07T00:00:00,2026-03-17T00:00:00,2031-03-16T00:00:00,,,,Province of East Java,"Wonosalam Village, Wonosalam Sub district",,https://search-api.fsc.org/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a02f300000gXX0CAAW,"GAPOKTANHUT ""PUNUNG WANA LESTARI""",FSC-C149356,SCS-FM/COC-006786,FM/COC,Terminated,Certificate holder,INDONESIA,"2,758.80 ha",2019-07-16T00:00:00,2022-06-30T00:00:00,,,2022-06-30T00:00:00,,East Java,JALAN RAYA SOLO - PACITAN,63553,https://search-api.fsc.org/api/v1/Certification/a02f300000gXX0CAAW/PrintFile?culture=en,
a024000000CtG9OAAV,Galengdowo,FSC-C114315,SA-FM/COC-004248,FM/COC,Terminated,Site,INDONESIA,222.18 ha,2013-12-05T00:00:00,2016-03-04T00:00:00,,,2016-03-04T00:00:00,,Jawa Timur,Wonosalam RT/RW: 04/01,,https://search-api.fsc.org/api/v1/Certification/a024000000CtG9OAAV/PrintFile?culture=en,
a024y00000m3mMhAAI,Gapoktan Among Tani 2,FSC-C162208,SA-FM/COC-008524,FM/COC,Valid,Site,INDONESIA,618.57 ha,2020-12-07T00:00:00,2026-03-17T00:00:00,2031-03-16T00:00:00,,,,Province of East Java,"Wonosalam Village, Wonosalam Sub district",,https://search-api.fsc.org/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,Gapoktan Suka Maju,FSC-C162208,SA-FM/COC-008524,FM/COC,Valid,Site,INDONESIA,618.57 ha,2020-12-07T00:00:00,2026-03-17T00:00:00,2031-03-16T00:00:00,,,,Province of East Java,"Wonosalam Village, Wonosalam Sub district",,https://search-api.fsc.org/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a0240000005sWSPAA2,Group A1,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group A2,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group A3,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
